id,name,type,rating,stars,starVotes,pitches,location,longitude,latitude,safety,grade
105722065,Illusion Dweller,Trad,5.10b,4.8,820,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'The Sentinel', 'The Sentinel - West Face']",-116.1713,34.013,S,10
105721816,Figures on a Landscape (aka Monkey on My Back),Trad,5.10b R,4.9,174,3,"['California', 'Joshua Tree National Park', 'Wonderland of Rocks', 'Wonderland South', 'Wonderland Valley', 'West Wonderland Valley', 'The Astro Domes', 'North Astro Dome', 'North Astro Dome - Northeast Face']",-116.1476,34.0389,R,10
105725122,Coarse and Buggy,Trad,5.11a/b,4.9,313,1,"['California', 'Joshua Tree National Park', 'Roadside Rocks', 'Dihedral Rock']",-116.1716,34.0198,S,11
105721822,Leave it to Beaver (aka The Beaver),Trad,5.12a,4.9,95,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'Sports Challenge Rock', 'Sports Challenge Rock - East Face']",-116.1691,34.0141,S,12
105725101,Rubicon,Trad,5.10c,4.9,338,1,"['California', 'Joshua Tree National Park', 'Split Rocks', 'Rubicon Formation']",-116.0572,34.006,S,10
105721624,Bird of Fire,Trad,5.10a,4.7,568,1,"['California', 'Joshua Tree National Park', 'Split Rocks', 'Isles in the Sky', 'Isles in the Sky (Northeast Face)']",-116.0587,34.0047,S,10
105722197,EBGB's,Trad,5.10d,4.8,121,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Rock', 'EBGB Block Area']",-116.1557,34.0244,S,10
105722113,Hot Rocks,Trad,5.11b/c,4.8,151,1,"['California', 'Joshua Tree National Park', 'The Outback', 'Rock Hudson']",-116.1629,34.0212,S,11
105722353,O'Kelley's Crack,Trad,5.11a,4.7,266,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Rusty Wall']",-116.1722,34.0321,S,11
105722548,Imaginary Voyage,Trad,5.10d,4.8,82,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Imaginary Voyage Formation']",-116.18,34.0202,S,10
105722356,Wangerbanger,Trad,5.11c,4.8,182,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Rusty Wall']",-116.1722,34.0321,S,11
105725659,Heart of Darkness,Trad,5.11a,4.7,319,1,"['California', 'Joshua Tree National Park', 'Sheep Pass Area', 'Oyster Bar Area', 'Conrad Rock', 'Conrad Rock - Heart of Darkness Corridor']",-116.1435,33.9895,S,11
105721615,Double Cross,Trad,5.7+,4.5,1317,1,"['California', 'Joshua Tree National Park', 'Hidden Valley Campground', 'The Old Woman', 'The Old Woman - West Face']",-116.1639,34.0166,S,7
105721792,Clean and Jerk,Trad,5.10c,4.7,330,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'Sports Challenge Rock', 'Sports Challenge Rock - East Face']",-116.1691,34.0141,S,10
105721747,SW Corner,Sport,5.6,4.3,845,1,"['California', 'Joshua Tree National Park', 'Sheep Pass Area', 'Ryan Campground', 'Headstone Rock']",-116.1524,33.9844,S,6
105722344,Run For Your Life,Trad,5.10b R,4.6,197,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'Tumbling Rainbow Formation']",-116.1713,34.0123,R,10
